Knoten,Grad-Zentralität,Nähe-Zentralität,Zwischen-Zentralität
0, 0.0200422  , 0.182238 , 0.0013258   
1, 0.0200422  , 0.166491 , 0.00103133  
2, 0.0200422  , 0.178028 , 0.00137549  
3, 0.0137131  , 0.17293  , 0.000271571 
4, 0.0242616  , 0.162273 , 0.000339117 
5, 0.0168776  , 0.184651 , 0.0252914   
6, 0.0189873  , 0.177995 , 0.00127013  
7, 0.0200422  , 0.158158 , 1.77421e-05 
8, 0.0179325  , 0.173056 , 0.00048675  
9, 0.0242616  , 0.177495 , 0.00145061  
10, 0.0200422  , 0.166491 , 0.0010773   
11, 0.021097   , 0.177694 , 0.00108888  
12, 0.0189873  , 0.162999 , 0.000366528 
13, 0.0179325  , 0.181401 , 0.00147944  
14, 0.0200422  , 0.178028 , 0.00131395  
15, 0.0221519  , 0.199034 , 0.0425335   
16, 0.021097   , 0.181505 , 0.00193097  
17, 0.0200422  , 0.187648 , 0.0245112   
18, 0.0137131  , 0.169619 , 0.000463543 
19, 0.0168776  , 0.178162 , 0.0185626   
20, 0.0253165  , 0.178195 , 0.00157197  
21, 0.0189873  , 0.166462 , 0.000994941 
22, 0.0147679  , 0.172961 , 0.000557264 
23, 0.0158228  , 0.162915 , 0.000254079 
24, 0.021097   , 0.173277 , 0.00155431  
25, 0.0168776  , 0.158079 , 1.41694e-05 
26, 0.0221519  , 0.177428 , 0.000878221 
27, 0.0200422  , 0.177362 , 0.000992938 
28, 0.0189873  , 0.162999 , 0.000378817 
29, 0.0200422  , 0.178028 , 0.001192    
30, 0.0189873  , 0.168924 , 0.000616921 
31, 0.0189873  , 0.168924 , 0.000678637 
32, 0.0189873  , 0.168924 , 0.000589698 
33, 0.0253165  , 0.186724 , 0.00265915  
34, 0.021097   , 0.177694 , 0.001308    
35, 0.0189873  , 0.182203 , 0.0015928   
36, 0.0189873  , 0.177628 , 0.00103513  
37, 0.0242616  , 0.198078 , 0.0028434   
38, 0.0232068  , 0.194941 , 0.00191686  
39, 0.0232068  , 0.184221 , 0.0184457   
40, 0.021097   , 0.183935 , 0.000588598 
41, 0.021097   , 0.186835 , 0.000454822 
42, 0.0221519  , 0.187426 , 0.000854021 
43, 0.0274262  , 0.184149 , 0.000786258 
44, 0.028481   , 0.194981 , 0.00132399  
45, 0.0242616  , 0.207895 , 0.0214017   
46, 0.0295359  , 0.192409 , 0.0012153   
47, 0.0189873  , 0.183971 , 0.000461117 
48, 0.0305907  , 0.185192 , 0.000933937 
49, 0.021097   , 0.211938 , 0.0671691   
