Knoten,Grad-Zentralität,Nähe-Zentralität,Zwischen-Zentralität
0, 0.012848   , 0.165926 , 0.00060524  
1, 0.0182013  , 0.160591 , 0.000395361 
2, 0.0149893  , 0.174874 , 0.0162985   
3, 0.0192719  , 0.173252 , 0.00189469  
4, 0.01606    , 0.157001 , 0.000654243 
5, 0.0192719  , 0.166311 , 0.00130195  
6, 0.01606    , 0.177162 , 0.00182236  
7, 0.01606    , 0.179477 , 0.0255799   
8, 0.01606    , 0.166074 , 0.000765853 
9, 0.0139186  , 0.166015 , 0.000697733 
10, 0.0171306  , 0.175399 , 0.0190694   
11, 0.01606    , 0.176426 , 0.0248528   
12, 0.0171306  , 0.165603 , 0.00109579  
13, 0.0182013  , 0.17125  , 0.00181282  
14, 0.0171306  , 0.16634  , 0.00120577  
15, 0.01606    , 0.160619 , 0.000387494 
16, 0.0192719  , 0.173252 , 0.00152179  
17, 0.01606    , 0.160619 , 0.000512412 
18, 0.0117773  , 0.151157 , 9.95721e-06 
19, 0.01606    , 0.160619 , 0.000376156 
20, 0.01606    , 0.166311 , 0.00095526  
21, 0.01606    , 0.160426 , 0.000504178 
22, 0.0149893  , 0.166281 , 0.00100775  
23, 0.0171306  , 0.171219 , 0.00177517  
24, 0.0192719  , 0.177263 , 0.00244077  
25, 0.0192719  , 0.171881 , 0.00170944  
26, 0.0182013  , 0.167354 , 0.00128565  
27, 0.0149893  , 0.165985 , 0.000924763 
28, 0.01606    , 0.151255 , 1.59599e-05 
29, 0.0192719  , 0.165662 , 0.0013177   
30, 0.0149893  , 0.167264 , 0.000875526 
31, 0.0107066  , 0.156869 , 0.000288445 
32, 0.0192719  , 0.17507  , 0.00183597  
33, 0.01606    , 0.170283 , 0.00108276  
34, 0.0182013  , 0.182707 , 0.00298383  
35, 0.012848   , 0.171976 , 0.0133498   
36, 0.0107066  , 0.171376 , 0.000484904 
37, 0.01606    , 0.168501 , 0.00123182  
38, 0.0235546  , 0.17965  , 0.00225146  
39, 0.0149893  , 0.188763 , 0.0308116   
40, 0.01606    , 0.168531 , 0.000951484 
41, 0.01606    , 0.177533 , 0.00203027  
42, 0.0192719  , 0.173541 , 0.0276269   
43, 0.01606    , 0.16531  , 0.000337353 
44, 0.01606    , 0.168501 , 0.00108421  
45, 0.01606    , 0.171597 , 0.00108211  
46, 0.01606    , 0.185834 , 0.0316308   
47, 0.01606    , 0.162803 , 0.000349426 
48, 0.012848   , 0.156475 , 1.36387e-05 
49, 0.0171306  , 0.164292 , 0.000804307 
50, 0.0214133  , 0.179823 , 0.0258155   
51, 0.0139186  , 0.160371 , 0.00025993  
52, 0.01606    , 0.174612 , 0.0425455   
53, 0.0107066  , 0.163687 , 0.000225112 
54, 0.0182013  , 0.167024 , 0.000939252 
55, 0.0117773  , 0.16204  , 0.000623733 
56, 0.01606    , 0.170097 , 0.00123236  
57, 0.01606    , 0.171534 , 0.0011535   
58, 0.0192719  , 0.179512 , 0.00159143  
59, 0.01606    , 0.174972 , 0.00142718  
60, 0.0117773  , 0.180553 , 0.00318316  
61, 0.0171306  , 0.176293 , 0.00286329  
62, 0.0149893  , 0.174972 , 0.00222063  
63, 0.00535332 , 0.155511 , 0.000900603 
64, 0.0171306  , 0.172325 , 0.0355782   
65, 0.01606    , 0.153922 , 0.00130475  
66, 0.012848   , 0.16363  , 0.0121186   
67, 0.01606    , 0.156292 , 0.0158686   
68, 0.0139186  , 0.140135 , 0.00016863  
69, 0.00963597 , 0.149321 , 0.00065159  
70, 0.0117773  , 0.144292 , 0.000529018 
71, 0.00963597 , 0.137333 , 7.9609e-06  
72, 0.0117773  , 0.155667 , 0.00189282  
73, 0.01606    , 0.155021 , 0.00153752  
74, 0.01606    , 0.155021 , 0.00117567  
75, 0.0107066  , 0.148042 , 0.00226492  
76, 0.0107066  , 0.151944 , 0.000622838 
77, 0.0171306  , 0.155796 , 0.00264036  
78, 0.0192719  , 0.155098 , 0.00143509  
79, 0.0117773  , 0.148442 , 0.0146055   
80, 0.012848   , 0.153165 , 0.00173949  
81, 0.0107066  , 0.154892 , 0.000778846 
82, 0.01606    , 0.14816  , 0.00247831  
83, 0.0117773  , 0.154918 , 0.000402488 
84, 0.00856531 , 0.137313 , 4.95185e-06 
85, 0.0117773  , 0.141601 , 0.000542495 
86, 0.00963597 , 0.141558 , 0.000326391 
87, 0.0171306  , 0.157557 , 0.00311661  
88, 0.00963597 , 0.141558 , 0.000323932 
89, 0.0139186  , 0.148892 , 0.000798153 
90, 0.0182013  , 0.162378 , 0.00405871  
91, 0.0149893  , 0.144649 , 0.000310411 
92, 0.0139186  , 0.144515 , 0.000104897 
93, 0.0149893  , 0.162294 , 0.00275212  
94, 0.0171306  , 0.148963 , 0.00100282  
95, 0.0203426  , 0.158064 , 0.00313475  
96, 0.0139186  , 0.140177 , 9.59448e-06 
97, 0.0139186  , 0.140177 , 1.03363e-05 
98, 0.01606    , 0.140219 , 1.50672e-05 
